request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,11937151.56250000000000000030,not_affordable,not_recommended,none,,none,
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,
request_28,310.038266666666666666666669,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,
request_29,1918.48750000000000000000045,not_affordable,not_recommended,none,,none,
request_30,222.792499999999999999999970,not_affordable,not_recommended,none,,none,
request_31,3182074.5220,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,
request_32,12710.99629999999999999999997,not_affordable,not_recommended,none,,none,
request_33,31146.4444,not_affordable,not_recommended,none,,none,
request_34,62225.0624999999999999999970,not_affordable,not_recommended,none,,none,
request_35,30364.9250000000000000000005,affordable_later,wait,2026-01-15:212000,2026-01-15,none,
request_36,605.35125,affordable_later,wait,2026-09-15:3954,2026-09-15,none,
request_37,3998332.36466666666666666680,not_affordable,not_recommended,none,,none,
request_38,134.2843166666666666666666669,not_affordable,not_recommended,none,,none,
request_39,52046.5448333333333333333330,affordable_later,wait,2026-06-15:208600,2026-06-15,none,
request_40,372.190133333333333333333336,affordable_later,wait,2024-08-15:1290.3,2024-08-15,none,
request_41,7941259.2153,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,
request_43,0,not_affordable,not_recommended,none,,none,
request_44,0,not_affordable,not_recommended,none,,none,
request_45,4060179.8320,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,
request_46,0,not_affordable,not_recommended,none,,none,
request_47,852503.47249999999999999922,not_affordable,not_recommended,none,,none,
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,
request_49,11747026.400,not_affordable,not_recommended,none,2024-05-15,none,
request_50,40532.6878499999999999999977,not_affordable,not_recommended,none,2025-10-15,none,
request_51,1834108.44750,not_affordable,not_recommended,none,,none,
request_52,0,not_affordable,not_recommended,none,,none,
request_53,507.4146,not_affordable,not_recommended,none,2026-01-15,none,
request_54,2445.77083333333333333333330,not_affordable,not_recommended,none,,none,
request_55,135076.19830,not_affordable,not_recommended,none,2026-07-15,none,
request_56,575.507583333333333333333337,not_affordable,not_recommended,none,2025-02-15,none,
request_57,11456.39524999999999999999997,affordable_later,wait,2026-06-15:61446,2026-06-15,none,
request_58,14899694.1980,not_affordable,not_recommended,none,,none,
request_59,134156.2325000000000000000030,not_affordable,not_recommended,none,,none,
request_60,0,not_affordable,not_recommended,none,,none,
request_61,29062,not_affordable,not_recommended,none,2024-03-03,none,
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,
request_63,42933.1881333333333333333331,not_affordable,not_recommended,none,,none,
request_64,41614.220,not_affordable,not_recommended,none,2024-08-15,none,
request_65,5724.14600,not_affordable,not_recommended,none,,none,
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,
request_67,389.994750000000000000000003,affordable_later,wait,2024-11-15:2094,2024-11-15,none,
request_68,1484.724966666666666666666669,not_affordable,not_recommended,none,2025-02-15,none,
request_69,527.7170,not_affordable,not_recommended,none,2026-01-15,none,
request_70,33560.82400,not_affordable,not_recommended,none,,none,
request_71,481713.120166666666666666636,not_affordable,not_recommended,none,,none,
request_72,0,not_affordable,not_recommended,none,,none,
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,
request_75,13295.75499999999999999999799,not_affordable,not_recommended,none,,none,
request_76,313.601200000000000000000024,not_affordable,not_recommended,none,,none,
request_77,59824.7906,not_affordable,not_recommended,none,2025-11-15,none,
